Patient_ID,Akkermansia,Faecalibacterium,Roseburia,Bifidobacterium,Bacteroides,Prevotella,Ruminococcus,Blautia,Collinsella,Escherichia_Shigella,Coprococcus,Alistipes,Subdoligranulum,Enterococcus,Eubacterium,Parabacteroides,Lactobacillus,Klebsiella,Streptococcus,Eggerthella,Other_Taxa
P00001,,,,,,,,,,,,,,,,,,,,,
P00002,2.188,11.732,2.672,3.096,23.716,9.582,4.052,10.25,0.426,0.564,3.114,2.364,2.416,1.356,1.636,1.78,2.104,0.162,1.968,1.416,13.406
P00003,2.544,4.154,3.92,3.794,19.81,11.48,1.736,10.022,0.724,3.34,1.61,2.722,4.154,2.018,2.238,6.998,1.552,0.46,5.146,5.658,5.92
P00004,0.58,10.238,7.598,5.24,18.88,6.354,1.922,4.088,7.408,0.504,4.102,1.196,8.844,0.96,1.524,2.446,1.802,4.19,1.608,0.878,9.638
P00005,9.748,15.938,7.364,8.798,12.712,2.018,5.652,6.21,0.68,0.778,3.642,3.034,1.55,0.42,0.594,1.282,0.928,4.46,1.912,1.18,11.1
P00006,2.08,8.504,1.29,5.144,29.374,7.724,4.458,6.576,1.518,2.298,0.896,1.994,1.576,0.71,1.118,0.646,6.922,0.636,2.996,0.84,12.7
P00007,2.53,15.284,5.648,3.662,14.568,6.95,2.672,5.928,1.816,2.86,5.008,0.726,2.226,0.156,3.338,3.226,1.98,0.026,1.18,0.746,19.47
P00008,6.018,9.868,1.824,6.654,25.806,4.96,3.176,6.548,5.104,1.844,2.13,0.896,7.906,2.386,1.498,1.112,1.01,0.898,0.54,1.124,8.698
P00009,1.178,19.208,4.472,6.058,28.574,3.814,4.884,7.736,3.264,0.172,5.062,1.07,1.048,0.398,0.256,0.808,0.612,0.07,2.104,0.43,8.782
P00010,,,,,,,,,,,,,,,,,,,,,
P00011,3.512,5.612,2.928,1.218,16.09,13.464,4.738,11.04,5.53,1.708,2.678,2.456,2.36,4.422,3.518,1.488,2.086,5.23,0.896,0.804,8.222
P00012,1.226,12.4365,8.9324,5.0722,16.9167,4.9902,2.0761,4.5762,1.5461,1.7481,4.1182,1.4921,1.9041,0.18,2.6981,0.086,0.85,0.0,1.15,0.548,27.4531
P00013,1.428,15.122,1.09,7.93,14.754,7.7,2.984,12.268,0.968,3.418,5.478,1.582,1.646,0.296,0.654,4.68,1.548,0.222,1.898,0.188,14.146
P00014,,,,,,,,,,,,,,,,,,,,,
P00015,4.7043,10.2666,4.8303,7.9665,15.1009,4.1262,2.4881,4.3803,2.4981,3.2662,3.6862,3.2262,1.6141,0.804,0.784,4.6103,4.5963,1.9701,1.2081,0.0,17.8731
P00016,3.77,7.262,2.984,2.6,21.774,8.854,2.738,10.946,2.242,0.908,3.692,1.602,4.76,1.328,1.406,3.528,0.896,2.456,1.688,0.1,14.466
P00017,3.18,10.174,4.766,5.914,15.606,7.714,1.752,7.776,0.088,1.8,3.526,3.33,3.758,0.582,2.262,6.862,3.234,0.312,0.842,0.258,16.264
P00018,,,,,,,,,,,,,,,,,,,,,
P00019,1.472,3.572,2.388,6.1,21.568,13.182,5.448,8.62,6.456,1.674,0.978,2.71,3.36,1.346,2.972,1.012,1.18,0.356,3.608,0.972,11.026
P00020,2.38,12.986,3.476,7.226,24.122,8.598,2.734,10.184,0.564,0.912,2.436,1.928,1.548,2.252,2.416,3.508,3.326,0.012,0.642,0.018,8.732
P00021,4.72,8.484,1.694,2.85,14.716,10.472,7.016,11.19,5.668,1.288,5.208,2.808,1.624,1.088,2.854,3.392,1.14,0.288,7.1,0.612,5.788
P00022,1.614,7.86,0.88,6.422,31.0,2.87,7.864,9.818,2.982,1.098,3.648,0.828,5.87,0.524,1.8,0.862,1.978,1.502,1.298,0.098,9.184
P00023,4.346,17.97,7.57,8.758,14.096,3.08,2.348,4.108,3.388,0.266,3.714,1.18,9.248,0.354,0.556,1.188,1.28,0.0,3.156,0.05,13.344
P00024,2.544,7.818,4.454,2.01,23.268,9.598,5.15,4.612,0.948,1.196,1.782,3.062,3.734,0.084,2.372,4.628,1.39,0.352,0.644,1.8,18.554
P00025,,,,,,,,,,,,,,,,,,,,,
P00026,0.746,5.314,4.968,4.618,27.542,9.7,2.614,8.102,2.78,2.246,0.934,0.552,1.818,4.44,2.324,2.618,2.18,4.52,4.724,1.526,5.734
P00027,3.36,8.868,5.702,2.972,18.4,10.44,3.918,12.196,2.16,0.698,4.788,2.376,2.102,0.124,0.69,1.544,3.244,1.864,1.956,0.508,12.09
P00028,7.9703,12.7285,8.9404,5.5802,18.4567,5.0102,4.5382,9.1904,1.5801,1.116,1.8361,3.9722,5.9562,0.0,2.9441,0.146,0.176,0.504,0.152,0.0,9.2024
P00029,3.58,12.984,4.41,4.68,17.746,6.516,2.928,11.958,2.112,1.18,1.19,1.646,4.52,0.016,0.606,7.022,1.348,0.384,1.988,0.926,12.26
P00030,2.902,8.99,7.926,6.144,15.13,11.286,5.624,3.412,1.312,3.352,1.18,0.732,5.222,1.606,2.808,0.116,8.604,3.212,1.596,0.038,8.808
P00031,,,,,,,,,,,,,,,,,,,,,
P00032,4.722,5.604,4.346,6.114,23.034,8.152,0.502,8.204,1.054,5.602,2.23,1.74,3.984,0.32,3.152,1.89,1.458,2.01,4.016,0.252,11.614
P00033,5.718,10.076,1.788,2.666,34.414,2.772,3.584,4.552,0.99,4.462,1.77,1.286,1.642,1.24,1.13,1.088,0.19,0.836,3.314,1.658,14.824
P00034,,,,,,,,,,,,,,,,,,,,,
P00035,1.672,3.648,2.65,3.578,39.984,6.772,3.962,5.744,4.36,4.336,0.854,0.714,1.394,1.786,0.484,1.218,4.098,1.198,5.37,1.464,4.714
P00036,2.344,16.382,4.276,12.5,29.212,3.818,2.552,4.63,0.736,0.81,4.398,0.39,1.29,1.442,0.896,0.876,3.2,0.178,1.162,0.646,8.262
P00037,4.528,11.23,4.794,3.906,25.324,8.312,0.75,4.532,3.278,0.256,4.146,3.71,3.732,3.58,2.86,0.25,0.554,1.11,1.228,1.336,10.584
P00038,1.298,6.526,2.362,10.846,16.46,7.072,2.856,12.218,0.648,5.764,1.998,5.226,2.484,0.436,2.032,1.732,0.928,2.622,0.344,0.88,15.268
P00039,4.384,4.944,5.582,3.608,21.966,12.306,2.8,4.096,6.156,2.038,9.022,0.976,0.918,3.486,0.898,0.902,0.298,0.224,2.006,0.086,13.304
P00040,3.626,11.286,1.878,4.966,22.162,4.61,4.68,7.744,1.45,2.526,2.49,1.27,2.216,1.132,1.308,2.624,5.552,1.876,1.562,1.222,13.82
P00041,,,,,,,,,,,,,,,,,,,,,
P00042,2.378,6.222,0.784,4.75,24.572,5.174,2.29,14.522,1.35,2.276,0.304,4.21,0.712,2.494,3.706,1.426,2.59,1.562,0.642,3.08,14.956
P00043,3.536,13.54,2.782,8.27,18.292,8.588,5.5,3.454,1.914,0.29,8.574,3.598,4.124,0.416,1.334,1.106,1.15,0.38,2.268,0.346,10.538
P00044,5.038,6.312,7.978,8.616,18.848,10.188,4.276,3.956,3.158,2.708,0.324,3.008,1.712,1.468,1.354,3.15,1.54,0.21,3.106,2.648,10.402
P00045,1.456,9.528,1.188,3.782,36.13,7.88,4.902,4.524,1.74,1.972,2.588,2.64,2.444,1.18,0.54,1.07,1.336,1.4,2.638,1.936,9.126
P00046,3.29,8.096,3.802,2.668,16.288,7.434,1.71,7.508,2.692,0.3,1.532,3.7,2.59,0.74,3.74,9.336,2.46,0.424,0.262,0.346,21.082
P00047,1.238,10.606,2.488,4.33,27.844,6.106,5.752,7.532,1.126,2.862,0.964,3.684,2.08,2.45,2.238,1.108,3.126,0.368,4.654,0.156,9.288
P00048,1.362,9.35,7.476,8.564,14.642,3.568,2.284,15.688,1.212,2.436,6.504,1.142,1.682,0.312,0.424,0.962,3.198,4.854,2.634,0.142,11.564
P00049,4.95,18.1,7.34,8.732,7.946,4.254,1.328,10.072,1.1,0.608,2.0,4.432,2.328,1.29,3.636,2.028,3.228,0.704,3.302,0.13,12.492
P00050,2.778,12.788,0.868,3.916,20.062,10.802,2.47,12.278,3.434,4.546,1.858,2.826,0.306,2.036,1.358,3.226,0.208,2.698,1.9,0.372,9.27
P00051,2.798,7.558,2.556,5.758,21.028,3.92,2.026,9.248,1.858,0.774,1.28,2.878,1.008,2.064,5.086,3.69,2.172,0.19,5.988,0.89,17.23
P00052,,,,,,,,,,,,,,,,,,,,,
P00053,3.19,6.648,8.666,5.108,20.316,6.776,1.204,8.554,1.138,1.042,3.066,2.534,3.876,1.206,1.282,1.476,1.802,0.394,1.284,1.232,19.206
P00054,0.714,5.866,2.988,5.994,15.65,12.996,1.798,16.54,1.008,0.976,2.648,2.368,0.47,2.254,0.4,2.442,1.742,5.392,2.682,4.82,10.252
P00055,0.7,8.13,3.24,3.272,23.27,7.818,6.676,4.884,4.58,6.166,2.71,3.62,1.698,0.822,2.136,3.144,3.674,4.086,1.506,0.34,7.528
P00056,3.006,7.72,2.756,3.904,27.428,5.724,2.032,8.762,2.604,2.15,2.548,1.936,2.594,1.996,6.24,2.002,1.406,0.332,4.742,0.0,10.118
P00057,1.512,5.922,2.898,5.096,22.112,7.286,2.658,5.538,3.634,3.798,1.954,9.416,1.408,1.786,5.77,1.878,3.568,1.226,1.772,0.382,10.386
P00058,2.016,9.344,7.302,6.154,18.386,13.094,5.376,6.154,4.758,2.842,1.164,0.434,2.79,0.156,0.82,3.25,2.072,0.068,1.942,0.944,10.934
P00059,0.704,11.858,3.922,9.564,12.96,7.98,4.68,6.636,0.988,2.23,1.61,1.832,2.812,0.468,1.408,9.412,4.282,4.65,0.456,2.75,8.798
P00060,5.382,10.13,1.928,2.782,20.172,9.982,2.53,5.236,2.2,2.302,0.8,2.372,1.338,1.036,0.4,3.79,0.724,1.014,0.376,1.368,24.138
P00061,4.9161,16.9783,4.8901,1.826,25.5345,11.1622,3.0741,7.0581,1.368,0.824,2.8321,1.76,1.444,0.808,2.7341,0.522,1.208,0.0,0.72,0.216,10.1242
P00062,1.146,7.128,3.894,11.038,24.618,9.984,3.04,6.08,2.358,1.592,3.742,1.592,2.312,0.632,3.408,1.204,0.662,0.108,3.348,0.866,11.248
P00063,1.904,3.484,2.098,2.868,26.96,3.006,0.704,17.68,2.628,4.942,0.672,1.258,0.568,2.378,1.932,3.24,0.362,5.266,1.972,3.218,12.86
P00064,4.04,7.008,3.424,4.646,27.646,15.644,4.642,4.472,0.6,0.198,5.566,3.004,3.628,0.32,2.264,0.672,2.174,0.142,1.056,0.114,8.74
P00065,1.674,12.328,2.22,3.88,21.614,5.406,7.786,4.298,0.826,0.48,4.958,1.48,3.036,0.808,5.372,2.072,0.2,4.634,1.95,0.0,14.978
P00066,,,,,,,,,,,,,,,,,,,,,
P00067,4.332,17.564,2.796,3.992,15.032,5.582,6.718,10.914,1.918,4.53,4.22,3.1,1.51,1.802,1.26,1.546,0.674,1.048,1.476,0.606,9.38
P00068,2.712,13.616,7.33,7.296,11.326,15.212,2.586,5.626,0.864,1.154,1.728,3.876,1.776,0.31,4.512,1.728,0.674,1.066,0.248,0.01,16.35
P00069,1.516,8.028,3.76,4.268,29.192,2.272,8.776,8.808,2.072,0.644,1.428,0.89,3.666,2.482,0.782,5.764,1.874,1.27,1.332,0.116,11.06
P00070,6.126,4.998,10.55,4.57,22.43,5.108,2.412,11.21,3.68,4.688,2.718,3.768,2.092,0.974,0.4,1.078,0.902,0.056,0.866,0.386,10.988
P00071,1.414,7.12,6.112,2.832,24.738,1.904,5.278,9.798,3.466,2.366,1.494,9.78,2.186,0.468,3.214,0.512,3.676,0.0,1.518,1.438,10.686
P00072,4.8188,8.8754,2.9225,6.9591,18.445,5.8189,8.0973,4.2067,9.7756,0.3461,5.1808,2.8265,2.6484,0.034,0.6261,2.3004,0.3701,0.0,0.0,0.0,15.7485
P00073,0.982,4.396,2.46,1.61,26.778,9.524,4.638,10.55,2.14,4.878,0.372,1.948,1.34,2.808,3.32,2.172,2.818,0.516,8.55,0.568,7.632
P00074,1.804,12.736,2.814,5.616,23.368,5.754,2.656,10.052,1.428,1.208,3.466,2.022,2.376,0.464,0.936,2.01,2.89,0.484,2.938,0.506,14.472
P00075,4.926,11.412,3.466,8.788,18.052,5.31,0.472,6.796,4.034,0.3,4.848,1.72,1.416,0.07,1.532,2.156,1.134,0.276,5.154,0.238,17.9
P00076,3.166,4.186,12.3,8.268,14.796,6.708,3.952,8.792,2.702,0.89,7.688,1.158,1.158,0.422,2.886,0.622,8.654,0.126,2.404,0.016,9.106
P00077,1.72,5.58,8.798,2.564,23.394,6.79,3.606,8.37,2.306,0.87,3.36,3.026,5.822,2.52,3.628,1.558,0.834,1.224,2.25,0.956,10.824
P00078,4.73,5.948,3.98,5.014,23.408,5.698,4.32,8.534,2.15,0.662,3.838,3.06,1.262,2.226,2.354,0.93,1.046,0.172,1.22,0.514,18.934
P00079,0.632,9.588,4.394,6.58,31.876,6.882,1.516,4.118,1.962,1.946,2.148,1.77,0.574,0.246,1.158,2.418,0.674,0.118,3.044,1.87,16.486
P00080,2.67,12.584,3.522,6.478,20.99,5.73,3.498,6.944,4.202,5.056,0.67,1.692,2.432,0.756,1.634,3.134,3.75,0.09,2.094,0.184,11.89
P00081,3.4,2.472,2.482,4.544,23.728,10.968,6.232,6.468,5.25,3.286,2.852,0.496,1.35,5.814,1.138,1.482,1.34,0.36,3.336,0.35,12.652
P00082,0.508,7.294,7.554,1.256,19.78,13.948,2.002,8.244,1.462,1.556,5.57,2.74,1.508,0.618,2.302,3.18,3.44,1.478,0.614,0.384,14.562
P00083,0.61,4.118,2.838,6.89,15.624,6.546,5.76,20.03,4.586,3.526,0.65,1.072,1.49,3.572,2.184,0.202,1.25,0.442,1.602,1.548,15.46
