Patient_ID,Split
P19113,train
P16436,train
P03443,train
P08236,train
P17899,train
P06348,train
P16054,train
P16675,train
P03018,train
P15117,train
P04969,train
P08011,train
P10027,train
P16119,train
P00058,train
P06926,train
P06256,train
P15246,train
P06367,train
P14375,train
P14100,train
P12976,train
P04120,train
P19929,train
P02790,train
P04446,train
P11654,train
P15043,train
P02519,train
P01045,train
P13188,train
P04003,train
P10064,train
P00941,train
P16046,train
P04033,train
P01454,train
P03319,train
P10533,train
P08083,train
P04026,train
P09180,train
P05799,train
P09526,train
P17803,train
P07545,train
P03479,train
P02152,train
P06358,train
P00113,train
P12959,train
P15085,train
P19426,train
P10820,train
P07317,train
P06610,train
P08309,train
P12759,train
P08172,train
P00732,train
P01881,train
P12751,train
P16478,train
P05903,train
P09279,train
P18601,train
P08263,train
P00341,train
P15528,train
P16920,train
P02827,train
P15651,train
P09098,train
P05804,train
P05642,train
P19735,train
P12606,train
P13127,train
P15646,train
P12773,train
P13726,train
P04621,train
P19139,train
P07761,train
P12794,train
P03079,train
P12831,train
P11604,train
P12174,train
P10794,train
P02898,train
P12849,train
P17558,train
P17867,train
P11681,train
P09856,train
P05977,train
P18677,train
P08025,train
P17916,train
P12720,train
P03799,train
P04121,train
P05628,train
P17463,train
P11013,train
P17196,train
P14592,train
P13824,train
P15014,train
P04158,train
P13123,train
P14492,train
P09735,train
P02410,train
P09696,train
P12756,train
P04396,train
P17354,train
P12722,train
P03902,train
P16648,train
P00337,train
P06225,train
P06785,train
P18295,train
P19788,train
P18972,train
P08074,train
P12334,train
P04937,train
P01481,train
P06234,train
P06845,train
P08960,train
P15670,train
P02219,train
P03613,train
P01486,train
P19619,train
P12984,train
P08591,train
P17221,train
P02396,train
P05837,train
P00859,train
P03584,train
P15342,train
P06265,train
P11951,train
P13365,train
P09118,train
P11190,train
P11219,train
P03896,train
P11522,train
P19297,train
P04126,train
P12425,train
P18167,train
P10431,train
P09985,train
P01770,train
P06861,train
P06526,train
P16661,train
P02950,train
P02939,train
P15321,train
P01877,train
P19154,train
P17054,train
P04570,train
P07155,train
P18513,train
P07678,train
P16949,train
P09347,train
P10034,train
P00553,train
P15109,train
P14055,train
P12227,train
P01759,train
P09597,train
P09281,train
P14440,train
P19006,train
P06124,train
P06452,train
P15800,train
P10588,train
P18388,train
P08377,train
P12834,train
P03277,train
P13616,train
P06836,train
P14738,train
P17086,train
P02493,train
P18224,train
P05772,train
P01422,train
P13476,train
P14737,train
P05925,train
P01487,train
P01211,train
P11947,train
P16011,train
P02035,train
P12252,train
P15594,train
P17882,train
P11747,train
P05845,train
P01954,train
P02510,train
P18516,train
P01388,train
P06390,train
P04884,train
P16743,train
P16871,train
P00338,train
P07231,train
P04614,train
P09992,train
P07967,train
P14661,train
P16397,train
P04081,train
P00408,train
P12220,train
P15690,train
P00949,train
P16278,train
P18989,train
P19204,train
P00782,train
P17883,train
P15230,train
P02416,train
P07544,train
P02639,train
P08828,train
P00214,train
P19048,train
P13799,train
P03159,train
P17168,train
P17286,train
P09429,train
P17992,train
P08347,train
P19685,train
P08467,train
P04417,train
P14108,train
P05366,train
P09405,train
P11805,train
P19382,train
P18462,train
P09867,train
P00775,train
P16030,train
P19095,train
P16244,train
P12161,train
P00912,train
P04789,train
P01442,train
P13762,train
P13474,train
P14235,train
P11555,train
P09982,train
P18088,train
P19199,train
P03615,train
P05055,train
P06007,train
P15508,train
P02904,train
P17551,train
P11672,train
P05851,train
P13206,train
P08121,train
P05182,train
P19390,train
P17975,train
P05409,train
P05360,train
P11160,train
P11007,train
P01141,train
P06115,train
P06524,train
P18552,train
P02154,train
P06951,train
P03493,train
P10924,train
P12056,train
P16837,train
P09403,train
P17122,train
P17485,train
P06616,train
P14123,train
P02903,train
P04164,train
P12282,train
P01846,train
P10314,train
P00101,train
P17613,train
P19890,train
P11717,train
P00708,train
P09796,train
P12542,train
P03325,train
P17522,train
P07998,train
P02992,train
P00073,train
P08944,train
P05323,train
P14947,train
P09469,train
P19150,train
P18449,train
P00816,train
P16639,train
P03106,train
P04377,train
P02319,train
P03635,train
P00419,train
P10653,train
P08165,train
P02605,train
P07366,train
P08128,train
P18468,train
P08655,train
P09721,train
P08065,train
P07694,train
P00082,train
P00075,train
P18315,train
P02131,train
P15331,train
P08247,train
P06721,train
P17111,train
P09378,train
P09638,train
P06247,train
P19856,train
P14500,train
P14666,train
P13087,train
P03534,train
P09752,train
P10018,train
P06558,train
P16575,train
P12489,train
P09733,train
P04040,train
P00514,train
P08397,train
P10155,train
P14389,train
P16557,train
P09906,train
P17410,train
P06069,train
P18286,train
P17750,train
P10917,train
P13515,train
P03235,train
P03822,train
P16660,train
P07848,train
P01500,train
P02287,train
P06747,train
P15518,train
P17806,train
P12676,train
P19746,train
P05624,train
P07407,train
P09794,train
P12924,train
P02868,train
P03452,train
P09994,train
P03758,train
P10214,train
P03599,train
P19283,train
P17611,train
P07852,train
P18929,train
P17343,train
P18115,train
P04669,train
P18821,train
P01226,train
P07913,train
P17021,train
P00522,train
P11105,train
P18550,train
P14755,train
P06068,train
P06620,train
P04209,train
P10444,train
P04802,train
P12503,train
P08624,train
P11592,train
P10990,train
P18863,train
P06141,train
P10831,train
P11501,train
P04766,train
P10170,train
P16899,train
P14792,train
P02291,train
P07136,train
P00343,train
P02768,train
P10727,train
P13866,train
P05049,train
P00155,train
P09955,train
P02638,train
P12241,train
P04793,train
P04594,train
P00412,train
P19142,train
P14136,train
P06875,train
P10621,train
P10612,train
P14471,train
P15660,train
P11690,train
P19706,train
P00117,train
P02755,train
P13908,train
P08310,train
P09673,train
P00624,train
P08277,train
P05597,train
P01928,train
P19869,train
P00258,train
P13633,train
P04679,train
P19710,train
P19162,train
P08763,train
P13312,train
P12270,train
P16641,train
P03630,train
P15636,train
P13083,train
P02200,train
P03663,train
P07997,train
P12981,train
P10626,train
P13625,train
P01044,train
P17106,train
P13696,train
P09581,train
P04568,train
P17259,train
P08753,train
P17642,train
P05735,train
P09156,train
P13739,train
P04649,train
P06096,train
P05587,train
P13276,train
P13266,train
P03308,train
P05300,train
P18439,train
P05475,train
P10580,train
P07760,train
P11843,train
P13035,train
P01564,train
P01324,train
P13557,train
P19940,train
P15702,train
P12523,train
P01528,train
P16301,train
P15739,train
P07954,train
P10508,train
P08653,train
P07384,train
P19711,train
P14493,train
P07109,train
P08826,train
P04533,train
P02066,train
P03904,train
P02063,train
P10655,train
P09966,train
P06200,train
P04572,train
P16433,train
P03280,train
P01273,train
P14480,train
P01865,train
P03281,train
P13295,train
P01956,train
P19580,train
P08206,train
P15790,train
P08208,train
P15359,train
P00217,train
P17516,train
P05567,train
P15050,train
P05872,train
P09136,train
P14128,train
P12069,train
P04083,train
P02260,train
P18977,train
P10731,train
P02528,train
P18581,train
P12827,train
P04539,train
P05523,train
P12816,train
P16918,train
P11800,train
P04323,train
P17290,train
P14097,train
P01041,train
P15063,train
P13809,train
P19489,train
P07334,train
P15068,train
P06730,train
P17434,train
P07601,train
P04648,train
P19937,train
P17076,train
P16470,train
P08649,train
P01342,train
P18628,train
P14654,train
P06815,train
P10492,train
P05425,train
P19664,train
P02495,train
P11846,train
P10255,train
P06166,train
P16129,train
P04407,train
P19801,train
P02847,train
P16558,train
P16878,train
P00218,train
P19871,train
P03357,train
P15904,train
P17437,train
P07980,train
P07644,train
P10129,train
P14994,train
P01417,train
P14532,train
P05471,train
P18465,train
P06230,train
P15219,train
P17580,train
P14769,train
P12006,train
P08039,train
P15332,train
P03678,train
P06990,train
P07398,train
P03544,train
P06079,train
P06741,train
P15778,train
P07911,train
P01849,train
P17028,train
P06419,train
P09592,train
P07089,train
P00111,train
P02227,train
P08765,train
P00539,train
P00157,train
P14732,train
P00958,train
P04980,train
P07637,train
P05345,train
P18264,train
P17075,train
P03439,train
P18982,train
P16335,train
P07116,train
P10136,train
P19648,train
P09910,train
P08769,train
P17311,train
P11512,train
P17083,train
P00367,train
P12209,train
P05829,train
P00424,train
P07525,train
P11686,train
P03140,train
P19466,train
P08906,train
P07597,train
P02427,train
P00681,train
P05778,train
P06554,train
P06709,train
P09552,train
P17976,train
P09764,train
P07108,train
P10702,train
P17720,train
P16303,train
P02175,train
P02807,train
P02747,train
P03589,train
P01172,train
P13450,train
P01420,train
P14516,train
P17293,train
P07680,train
P07363,train
P13234,train
P07960,train
P03369,train
P10001,train
P11728,train
P12932,train
P13588,train
P14475,train
P01321,train
P08547,train
P04221,train
P01278,train
P17309,train
P00311,train
P17931,train
P16985,train
P02592,train
P02057,train
P03302,train
P16617,train
P14935,train
P14132,train
P18523,train
P18525,train
P15656,train
P01101,train
P09574,train
P02609,train
P08566,train
P06301,train
P01665,train
P02289,train
P04924,train
P08248,train
P07174,train
P01051,train
P13391,train
P02444,train
P07802,train
P13618,train
P15112,train
P00849,train
P10670,train
P14327,train
P04388,train
P02365,train
P13759,train
P05861,train
P00797,train
P08126,train
P16846,train
P19045,train
P00574,train
P04122,train
P17794,train
P12496,train
P19034,train
P00787,train
P15797,train
P08729,train
P19653,train
P12732,train
P00096,train
P15889,train
P10075,train
P16102,train
P11050,train
P08483,train
P07490,train
P15729,train
P08374,train
P02625,train
P13982,train
P16134,train
P19480,train
P11216,train
P03746,train
P01396,train
P18005,train
P15453,train
P17136,train
P01826,train
P05996,train
P07437,train
P08320,train
P01156,train
P16259,train
P05985,train
P10763,train
P17214,train
P04455,train
P05391,train
P03139,train
P12173,train
P13373,train
P08987,train
P07796,train
P01077,train
P19707,train
P13371,train
P02169,train
P00768,train
P07207,train
P04005,train
P08790,train
P11471,train
P07003,train
P05770,train
P10736,train
P07131,train
P14188,train
P06257,train
P02134,train
P19152,train
P06849,train
P04200,train
P03947,train
P19442,train
P10786,train
P17210,train
P18771,train
P13413,train
P02053,train
P01310,train
P07500,train
P06215,train
P15425,train
P02717,train
P08311,train
P15525,train
P17369,train
P02222,train
P16008,train
P19511,train
P07148,train
P14619,train
P07946,train
P07702,train
P17954,train
P17477,train
P00118,train
P02937,train
P02681,train
P05074,train
P10818,train
P15346,train
P15136,train
P00433,train
P16144,train
P11572,train
P08267,train
P12609,train
P03286,train
P06504,train
P19280,train
P18847,train
P09397,train
P05550,train
P17462,train
P08850,train
P14058,train
P16833,train
P09786,train
P15402,train
P01864,train
P07261,train
P16733,train
P07854,train
P15381,train
P06113,train
P08222,train
P13056,train
P14476,train
P03202,train
P10972,train
P08304,train
P13928,train
P01069,train
P16695,train
P10213,train
P00040,train
P16277,train
P13227,train
P19081,train
P05340,train
P19753,train
P17155,train
P06245,train
P11124,train
P01179,train
P11859,train
P03155,train
P19769,train
P09882,train
P10487,train
P06764,train
P16767,train
P11184,train
P09419,train
P19820,train
P17967,train
P05563,train
P00407,train
P05512,train
P16178,train
P17344,train
P08086,train
P16996,train
P08054,train
P03138,train
P10252,train
P13137,train
P14932,train
P10387,train
P09453,train
P19435,train
P08393,train
P05614,train
P19863,train
P09760,train
P11956,train
P19806,train
P06469,train
P14288,train
P11844,train
P08110,train
P04275,train
P06316,train
P02954,train
P11411,train
P16410,train
P16730,train
P15100,train
P19532,train
P00439,train
P14694,train
P10071,train
P02959,train
P10019,train
P09452,train
P10489,train
P18806,train
P13239,train
P05106,train
P09412,train
P06017,train
P05192,train
P08438,train
P01932,train
P19447,train
P04367,train
P18505,train
P17571,train
P00845,train
P05329,train
P13055,train
